alg,prob,D,Nef,n_off_par,n_off_emp,n_off_use,deltas_unicos,ngen,dup_off,pred,ok
nsga2,BBOB_F1,10,20,20,20,20,3,11,16,11,1
nsga2,BBOB_F17,10,20,20,20,20,3,11,7,11,1
nsga2,BBOB_F22,10,20,20,20,20,1,11,3,11,1
nsga2,BBOB_F37,10,20,20,20,20,1,11,3,11,1
nsga2,BBOB_F49,10,20,20,20,20,1,11,3,11,1
nsga2,BBOB_F5,10,20,20,20,20,2,11,6,11,1
nsga2,BBOB_F55,10,20,20,20,20,3,11,6,11,1
nsga2,DTLZ1,7,20,20,20,20,1,8,2,8,1
nsga2,DTLZ2,12,20,20,20,20,1,13,4,13,1
nsga2,DTLZ3,12,20,20,20,20,1,13,3,13,1
nsga2,DTLZ4,12,20,20,20,20,1,13,1,13,1
nsga2,DTLZ7,22,20,20,20,20,1,23,15,23,1
nsga2,MMF1,2,20,20,20,20,1,3,1,3,1
nsga2,MMF11_L,2,20,20,20,20,1,3,1,3,1
nsga2,MMF16_20,20,20,20,20,20,1,21,10,21,1
nsga2,MMF4,2,20,20,20,20,1,3,0,3,1
nsga2,WFG1,22,20,20,20,20,1,23,12,23,1
nsga2,WFG2,22,20,20,20,20,3,23,11,23,1
nsga2,WFG4,22,20,20,20,20,3,23,11,23,1
nsga2,WFG5,22,20,20,20,20,1,23,10,23,1
nsga2,WFG9,22,20,20,20,20,3,23,10,23,1
nsga2,ZDT1,30,20,20,20,20,3,31,17,31,1
nsga2,ZDT3,30,20,20,20,20,3,31,11,31,1
nsga2,ZDT4,10,20,20,20,20,3,11,6,11,1
nsga2,ZDT6,10,20,20,20,20,1,11,8,11,1
nsga3,BBOB_F1,10,20,20,20,20,1,11,2,11,1
nsga3,BBOB_F17,10,20,20,20,20,1,11,1,11,1
nsga3,BBOB_F22,10,20,20,20,20,1,11,11,11,1
nsga3,BBOB_F37,10,20,20,20,20,1,11,4,11,1
nsga3,BBOB_F49,10,20,20,20,20,1,11,1,11,1
nsga3,BBOB_F5,10,20,20,20,20,1,11,2,11,1
nsga3,BBOB_F55,10,20,20,20,20,3,11,10,11,1
nsga3,DTLZ1,7,15,14,14,14,1,11,4,11,1
nsga3,DTLZ2,12,15,14,14,14,3,18,8,18,1
nsga3,DTLZ3,12,15,14,14,14,1,18,7,18,1
nsga3,DTLZ4,12,15,14,14,14,3,18,4,18,1
nsga3,DTLZ7,22,15,14,14,14,1,33,16,33,1
nsga3,MMF1,2,20,20,20,20,1,3,2,3,1
nsga3,MMF11_L,2,20,20,20,20,1,3,1,3,1
nsga3,MMF16_20,20,15,14,14,14,1,30,9,30,1
nsga3,MMF4,2,20,20,20,20,1,3,1,3,1
nsga3,WFG1,22,20,20,20,20,1,23,10,23,1
nsga3,WFG2,22,20,20,20,20,1,23,13,23,1
nsga3,WFG4,22,20,20,20,20,1,23,15,23,1
nsga3,WFG5,22,20,20,20,20,3,23,16,23,1
nsga3,WFG9,22,20,20,20,20,1,23,7,23,1
nsga3,ZDT1,30,20,20,20,20,3,31,17,31,1
nsga3,ZDT3,30,20,20,20,20,3,31,11,31,1
nsga3,ZDT4,10,20,20,20,20,3,11,5,11,1
nsga3,ZDT6,10,20,20,20,20,1,11,2,11,1
moead,BBOB_F1,10,20,20,20,20,3,12,32,12,1
moead,BBOB_F17,10,20,20,20,20,3,14,72,14,1
moead,BBOB_F22,10,20,20,20,20,3,14,63,14,1
moead,BBOB_F37,10,20,20,20,20,3,13,41,13,1
moead,BBOB_F49,10,20,20,20,20,3,14,68,14,1
moead,BBOB_F5,10,20,20,20,20,3,14,68,14,1
moead,BBOB_F55,10,20,20,20,20,3,13,48,13,1
moead,DTLZ1,7,15,14,15,15,3,11,12,11,1
moead,DTLZ2,12,15,14,15,15,1,17,12,17,1
moead,DTLZ3,12,15,14,15,15,3,18,25,18,1
moead,DTLZ4,12,15,14,15,15,3,18,20,18,1
moead,DTLZ7,22,15,14,15,15,3,33,51,33,1
moead,MMF1,2,20,20,20,20,2,3,11,3,1
moead,MMF11_L,2,20,20,20,20,2,3,10,3,1
moead,MMF16_20,20,15,14,15,15,1,29,25,29,1
moead,MMF4,2,20,20,20,20,2,3,9,3,1
moead,WFG1,22,20,20,20,20,6,31,162,31,1
moead,WFG2,22,20,20,20,20,1,27,87,27,1
moead,WFG4,22,20,20,20,20,1,27,92,27,1
moead,WFG5,22,20,20,20,20,1,26,77,26,1
moead,WFG9,22,20,20,20,20,1,25,43,25,1
moead,ZDT1,30,20,20,20,20,4,38,154,38,1
moead,ZDT3,30,20,20,20,20,5,38,155,38,1
moead,ZDT4,10,20,20,20,20,3,14,68,14,1
moead,ZDT6,10,20,20,20,20,3,14,65,14,1
smsemoa,BBOB_F1,10,20,20,20,20,1,11,0,11,1
smsemoa,BBOB_F17,10,20,20,20,20,1,11,0,11,1
smsemoa,BBOB_F22,10,20,20,20,20,1,11,0,11,1
smsemoa,BBOB_F37,10,20,20,20,20,1,11,0,11,1
smsemoa,BBOB_F49,10,20,20,20,20,1,11,0,11,1
smsemoa,BBOB_F5,10,20,20,20,20,1,11,0,11,1
smsemoa,BBOB_F55,10,20,20,20,20,1,11,0,11,1
smsemoa,DTLZ1,7,20,20,20,20,1,8,0,8,1
smsemoa,DTLZ2,12,20,20,20,20,1,13,0,13,1
smsemoa,DTLZ3,12,20,20,20,20,1,13,0,13,1
smsemoa,DTLZ4,12,20,20,20,20,1,13,0,13,1
smsemoa,DTLZ7,22,20,20,20,20,1,23,0,23,1
smsemoa,MMF1,2,20,20,20,20,1,3,6,3,1
smsemoa,MMF11_L,2,20,20,20,20,1,3,6,3,1
smsemoa,MMF16_20,20,20,20,20,20,1,21,0,21,1
smsemoa,MMF4,2,20,20,20,20,2,3,5,3,1
smsemoa,WFG1,22,20,20,20,20,1,23,0,23,1
smsemoa,WFG2,22,20,20,20,20,1,23,0,23,1
smsemoa,WFG4,22,20,20,20,20,1,23,0,23,1
smsemoa,WFG5,22,20,20,20,20,1,23,0,23,1
smsemoa,WFG9,22,20,20,20,20,1,23,0,23,1
smsemoa,ZDT1,30,20,20,20,20,1,31,0,31,1
smsemoa,ZDT3,30,20,20,20,20,1,31,0,31,1
smsemoa,ZDT4,10,20,20,20,20,1,11,0,11,1
smsemoa,ZDT6,10,20,20,20,20,1,11,0,11,1
