prob,geracao,obj,antes,depois,delta,rel
DTLZ1,7,2,0.0,0.04000297404226898,0.04000297404226898,4.0002974042268977e+298
DTLZ2,2,0,0.00030053325062024175,0.0013055403057308124,0.0010050070551105707,3.3440794089719956
DTLZ2,6,1,0.0,9.937377338886135e-17,9.937377338886135e-17,9.937377338886135e+283
DTLZ2,16,0,2.061919710145302e-18,5.3030603540179514e-17,5.096868383003421e-17,24.7190438983885
DTLZ4,14,0,5.788910050195499e-33,4.391461546197537e-17,4.3914615461975363e-17,7585990295442976.0
DTLZ4,15,0,4.391461546197537e-17,7.516627104697472e-17,3.125165558499935e-17,0.711645889557189
DTLZ4,11,0,6.635856477017484e-33,1.094407846062063e-19,1.0944078460619967e-19,16492337497839.967
MMF16_20,29,0,1.2889694637438797e-17,1.2958218078133817e-17,6.85234406950204e-20,0.005316141508580852
DTLZ4,4,1,0.0,1.1415258567980082e-166,1.1415258567980082e-166,1.1415258567980081e+134
DTLZ4,1,2,1.0166344593499458e-220,6.527221687062012e-194,6.527221687062012e-194,6.420421447484314e+26
DTLZ4,12,2,0.0,6.190454176940419e-194,6.190454176940419e-194,6.190454176940419e+106
DTLZ4,6,2,0.0,5.622933589210974e-194,5.622933589210974e-194,5.622933589210974e+106
