alg,problema,D,N_ef,n_dup,n_ger,f_t11,ok,off
smsemoa,BBOB_F1,10,20,0,11,10,False,1
smsemoa,BBOB_F17,10,20,0,11,10,False,1
smsemoa,BBOB_F22,10,20,0,11,10,False,1
smsemoa,BBOB_F37,10,20,0,11,10,False,1
smsemoa,BBOB_F49,10,20,0,11,10,False,1
smsemoa,BBOB_F5,10,20,0,11,10,False,1
smsemoa,BBOB_F55,10,20,0,11,10,False,1
smsemoa,DTLZ1,7,20,0,8,7,False,1
smsemoa,DTLZ2,12,20,0,13,12,False,1
smsemoa,DTLZ3,12,20,0,13,12,False,1
smsemoa,DTLZ4,12,20,0,13,12,False,1
smsemoa,DTLZ7,22,20,0,23,22,False,1
smsemoa,MMF1,2,20,6,3,2,False,1
smsemoa,MMF11_L,2,20,6,3,2,False,1
smsemoa,MMF16_20,20,20,0,21,20,False,1
smsemoa,MMF4,2,20,5,3,2,False,1
smsemoa,WFG1,22,20,0,23,22,False,1
smsemoa,WFG2,22,20,0,23,22,False,1
smsemoa,WFG4,22,20,0,23,22,False,1
smsemoa,WFG5,22,20,0,23,22,False,1
smsemoa,WFG9,22,20,0,23,22,False,1
smsemoa,ZDT1,30,20,0,31,30,False,1
smsemoa,ZDT3,30,20,0,31,30,False,1
smsemoa,ZDT4,10,20,0,11,10,False,1
smsemoa,ZDT6,10,20,0,11,10,False,1
nsga2,BBOB_F1,10,20,17,11,10,False,1
nsga2,BBOB_F17,10,20,9,11,10,False,1
nsga2,BBOB_F22,10,20,3,11,10,False,1
nsga2,BBOB_F37,10,20,3,11,10,False,1
nsga2,BBOB_F49,10,20,3,11,10,False,1
nsga2,BBOB_F5,10,20,6,11,10,False,1
nsga2,BBOB_F55,10,20,6,11,10,False,1
nsga2,DTLZ1,7,20,2,8,7,False,1
nsga2,DTLZ2,12,20,4,13,12,False,1
nsga2,DTLZ3,12,20,3,13,12,False,1
nsga2,DTLZ4,12,20,1,13,12,False,1
nsga2,DTLZ7,22,20,15,23,22,False,1
nsga2,MMF1,2,20,1,3,2,False,1
nsga2,MMF11_L,2,20,1,3,2,False,1
nsga2,MMF16_20,20,20,10,21,20,False,1
nsga2,MMF4,2,20,0,3,2,False,1
nsga2,WFG1,22,20,12,23,22,False,1
nsga2,WFG2,22,20,11,23,22,False,1
nsga2,WFG4,22,20,11,23,22,False,1
nsga2,WFG5,22,20,10,23,22,False,1
nsga2,WFG9,22,20,10,23,22,False,1
nsga2,ZDT1,30,20,19,31,30,False,1
nsga2,ZDT3,30,20,11,31,30,False,1
nsga2,ZDT4,10,20,6,11,10,False,1
nsga2,ZDT6,10,20,9,11,10,False,1
nsga3,BBOB_F1,10,20,2,11,10,False,1
nsga3,BBOB_F17,10,20,1,11,10,False,1
nsga3,BBOB_F22,10,20,11,11,10,False,1
nsga3,BBOB_F37,10,20,4,11,10,False,1
nsga3,BBOB_F49,10,20,1,11,10,False,1
nsga3,BBOB_F5,10,20,2,11,10,False,1
nsga3,BBOB_F55,10,20,10,11,10,False,1
nsga3,DTLZ1,7,15,5,11,10,False,1
nsga3,DTLZ2,12,15,8,18,17,False,1
nsga3,DTLZ3,12,15,7,18,17,False,1
nsga3,DTLZ4,12,15,4,18,17,False,1
nsga3,DTLZ7,22,15,16,33,32,False,1
nsga3,MMF1,2,20,2,3,2,False,1
nsga3,MMF11_L,2,20,1,3,2,False,1
nsga3,MMF16_20,20,15,9,30,29,False,1
nsga3,MMF4,2,20,1,3,2,False,1
nsga3,WFG1,22,20,10,23,22,False,1
nsga3,WFG2,22,20,13,23,22,False,1
nsga3,WFG4,22,20,15,23,22,False,1
nsga3,WFG5,22,20,16,23,22,False,1
nsga3,WFG9,22,20,7,23,22,False,1
nsga3,ZDT1,30,20,17,31,30,False,1
nsga3,ZDT3,30,20,11,31,30,False,1
nsga3,ZDT4,10,20,5,11,10,False,1
nsga3,ZDT6,10,20,2,11,10,False,1
moead,BBOB_F1,10,20,34,12,11,False,1
moead,BBOB_F17,10,20,74,14,13,False,1
moead,BBOB_F22,10,20,63,14,13,False,1
moead,BBOB_F37,10,20,41,13,12,False,1
moead,BBOB_F49,10,20,69,14,13,False,1
moead,BBOB_F5,10,20,69,14,13,False,1
moead,BBOB_F55,10,20,51,13,12,False,1
moead,DTLZ1,7,15,12,11,10,False,1
moead,DTLZ2,12,15,12,17,18,False,-1
moead,DTLZ3,12,15,26,18,19,False,-1
moead,DTLZ4,12,15,21,18,18,True,0
moead,DTLZ7,22,15,53,33,35,False,-2
moead,MMF1,2,20,13,3,2,False,1
moead,MMF11_L,2,20,11,3,2,False,1
moead,MMF16_20,20,15,25,29,30,False,-1
moead,MMF4,2,20,10,3,2,False,1
moead,WFG1,22,20,162,31,30,False,1
moead,WFG2,22,20,88,27,26,False,1
moead,WFG4,22,20,94,27,26,False,1
moead,WFG5,22,20,78,26,25,False,1
moead,WFG9,22,20,43,25,24,False,1
moead,ZDT1,30,20,158,38,37,False,1
moead,ZDT3,30,20,158,38,37,False,1
moead,ZDT4,10,20,69,14,13,False,1
moead,ZDT6,10,20,66,14,13,False,1
