alg,cat,problema,semente,D,N_ef,n_dup,n_ger,f,ok,off
moead,pre_retrofit,MMF1,0,2,20,2,3,2,False,1
moead,pre_retrofit,ZDT1,0,30,20,161,39,38,False,1
moead,pre_retrofit,DTLZ2,0,12,15,9,17,17,True,0
smsemoa,pre_retrofit,ZDT1,0,30,20,0,31,30,False,1
smsemoa,pre_retrofit,MMF1,0,2,20,2,3,2,False,1
smsemoa,pre_retrofit,DTLZ2,0,12,20,0,13,12,False,1
nsga3,pre_retrofit,MMF1,0,2,20,2,3,2,False,1
nsga3,pre_retrofit,DTLZ2,0,12,15,12,19,18,False,1
nsga3,pre_retrofit,ZDT1,0,30,20,19,31,30,False,1
nsga2,pre_retrofit,DTLZ2,0,12,20,7,13,12,False,1
nsga2,pre_retrofit,ZDT1,0,30,20,11,31,30,False,1
nsga2,pre_retrofit,MMF1,0,2,20,0,3,2,False,1
moead,main,ZDT6,42,10,20,66,14,13,False,1
moead,main,DTLZ2,42,12,15,12,17,18,False,-1
moead,main,MMF16_20,42,20,15,25,29,30,False,-1
moead,main,MMF11_L,42,2,20,11,3,2,False,1
moead,main,BBOB_F17,42,10,20,74,14,13,False,1
moead,main,MMF1,0,2,20,2,3,2,False,1
moead,main,BBOB_F22,42,10,20,63,14,13,False,1
moead,main,WFG9,42,22,20,43,25,24,False,1
moead,main,BBOB_F49,42,10,20,69,14,13,False,1
moead,main,WFG2,42,22,20,88,27,26,False,1
moead,main,DTLZ3,42,12,15,26,18,19,False,-1
moead,main,ZDT1,0,30,20,161,39,38,False,1
moead,main,DTLZ7,42,22,15,53,33,35,False,-2
moead,main,BBOB_F37,42,10,20,41,13,12,False,1
moead,main,ZDT3,42,30,20,158,38,37,False,1
moead,main,BBOB_F55,42,10,20,51,13,12,False,1
moead,main,WFG1,42,22,20,162,31,30,False,1
moead,main,DTLZ2,0,12,15,9,17,17,True,0
moead,main,MMF1,42,2,20,13,3,2,False,1
moead,main,BBOB_F5,42,10,20,69,14,13,False,1
moead,main,ZDT4,42,10,20,69,14,13,False,1
moead,main,BBOB_F1,42,10,20,34,12,11,False,1
moead,main,WFG5,42,22,20,78,26,25,False,1
moead,main,DTLZ4,42,12,15,21,18,18,True,0
moead,main,DTLZ1,42,7,15,12,11,10,False,1
moead,main,MMF4,42,2,20,10,3,2,False,1
moead,main,ZDT1,42,30,20,158,38,37,False,1
moead,main,WFG4,42,22,20,94,27,26,False,1
smsemoa,main,BBOB_F37,42,10,20,0,11,10,False,1
smsemoa,main,ZDT6,42,10,20,0,11,10,False,1
smsemoa,main,ZDT1,0,30,20,0,31,30,False,1
smsemoa,main,BBOB_F49,42,10,20,0,11,10,False,1
smsemoa,main,DTLZ4,42,12,20,0,13,12,False,1
smsemoa,main,WFG2,42,22,20,0,23,22,False,1
smsemoa,main,BBOB_F22,42,10,20,0,11,10,False,1
smsemoa,main,DTLZ1,42,7,20,0,8,7,False,1
smsemoa,main,MMF1,0,2,20,2,3,2,False,1
smsemoa,main,BBOB_F5,42,10,20,0,11,10,False,1
smsemoa,main,WFG9,42,22,20,0,23,22,False,1
smsemoa,main,BBOB_F17,42,10,20,0,11,10,False,1
smsemoa,main,ZDT3,42,30,20,0,31,30,False,1
smsemoa,main,MMF16_20,42,20,20,0,21,20,False,1
