alg,problema,M,D,gens,trans,ideal_piora,pior_piora,frac_f1_media,frac_f1_1_em
smsemoa,BBOB_F1,2,10,11,10,0,0.0,0.5363636363636364,0
smsemoa,BBOB_F17,2,10,11,10,0,0.0,0.5000000000000001,0
smsemoa,BBOB_F22,2,10,11,10,0,0.0,0.5136363636363636,1
smsemoa,BBOB_F37,2,10,11,10,0,0.0,0.3136363636363636,0
smsemoa,BBOB_F49,2,10,11,10,0,0.0,0.5636363636363636,0
smsemoa,BBOB_F5,2,10,11,10,0,0.0,0.4318181818181818,0
smsemoa,BBOB_F55,2,10,11,10,0,0.0,0.32727272727272727,0
smsemoa,DTLZ1,3,7,8,7,0,0.0,0.94375,4
smsemoa,DTLZ2,3,12,13,12,1,0.0010214612894033706,1.0,13
smsemoa,DTLZ3,3,12,13,12,1,2.025714744995982,0.7807692307692307,1
smsemoa,DTLZ4,3,12,13,12,1,7.4e-323,0.9153846153846155,5
smsemoa,DTLZ7,3,22,23,22,1,3.0357660829594124e-18,0.5891304347826086,5
smsemoa,MMF1,2,2,3,2,0,0.0,0.5166666666666667,0
smsemoa,MMF11_L,2,2,3,2,0,0.0,0.65,0
smsemoa,MMF16_20,3,20,21,20,6,0.017842631412793717,1.0,21
smsemoa,MMF4,2,2,3,2,0,0.0,0.6833333333333332,0
smsemoa,WFG1,2,22,23,22,0,0.0,0.9652173913043478,19
smsemoa,WFG2,2,22,23,22,0,0.0,0.7456521739130434,1
smsemoa,WFG4,2,22,23,22,0,0.0,1.0,23
smsemoa,WFG5,2,22,23,22,0,0.0,0.9934782608695653,20
smsemoa,WFG9,2,22,23,22,0,0.0,0.9608695652173914,19
smsemoa,ZDT1,2,30,31,30,0,0.0,0.7483870967741936,5
smsemoa,ZDT3,2,30,31,30,0,0.0,0.8096774193548386,16
smsemoa,ZDT4,2,10,11,10,0,0.0,0.25000000000000006,0
smsemoa,ZDT6,2,10,11,10,0,0.0,0.2863636363636364,0
nsga2,BBOB_F1,2,10,11,10,0,0.0,0.7,2
nsga2,BBOB_F17,2,10,11,10,0,0.0,0.4272727272727273,0
nsga2,BBOB_F22,2,10,11,10,0,0.0,0.45,2
nsga2,BBOB_F37,2,10,11,10,0,0.0,0.5818181818181818,1
nsga2,BBOB_F49,2,10,11,10,0,0.0,0.4818181818181818,0
nsga2,BBOB_F5,2,10,11,10,0,0.0,0.5454545454545454,1
nsga2,BBOB_F55,2,10,11,10,0,0.0,0.4227272727272727,0
nsga2,DTLZ1,3,7,8,7,0,0.0,0.83125,1
nsga2,DTLZ2,3,12,13,12,0,0.0,1.0,13
nsga2,DTLZ3,3,12,13,12,0,0.0,0.9076923076923078,7
nsga2,DTLZ4,3,12,13,12,0,0.0,0.9653846153846153,9
nsga2,DTLZ7,3,22,23,22,0,0.0,0.9152173913043476,12
nsga2,MMF1,2,2,3,2,0,0.0,0.5499999999999999,0
nsga2,MMF11_L,2,2,3,2,0,0.0,0.5666666666666667,0
nsga2,MMF16_20,3,20,21,20,0,0.0,1.0,21
nsga2,MMF4,2,2,3,2,0,0.0,0.7333333333333334,1
