alg,problema,semente,D,M,N_ef,par,n_ger_real,cache_total,cache_init,n_dup_evo,fe_g1,g1_eh_snapshot,f_T11_dupevo,f_T11_duptot,f_antiga,f_ceilF5,f_D_mais_1,ok_f_T11_dupevo,ok_f_T11_duptot,ok_f_antiga,ok_f_ceilF5,ok_f_D_mais_1
moead,DTLZ2,0,12,3,15,14,17,25,16,9,131,True,17,18,16,17,17,True,False,False,True,True
moead,MMF1,0,2,2,20,20,3,23,21,2,21,True,2,3,2,3,3,False,True,False,True,True
moead,ZDT1,0,30,2,20,20,39,182,21,161,329,True,38,39,30,39,31,False,True,False,True,False
moead,BBOB_F1,42,10,2,20,20,12,55,21,34,109,True,11,12,10,12,11,False,True,False,True,False
moead,BBOB_F17,42,10,2,20,20,14,95,21,74,109,True,13,14,10,14,11,False,True,False,True,False
moead,BBOB_F22,42,10,2,20,20,14,84,21,63,109,True,13,14,10,14,11,False,True,False,True,False
moead,BBOB_F37,42,10,2,20,20,13,62,21,41,109,True,12,13,10,13,11,False,True,False,True,False
moead,BBOB_F49,42,10,2,20,20,14,90,21,69,109,True,13,14,10,14,11,False,True,False,True,False
moead,BBOB_F5,42,10,2,20,20,14,90,21,69,109,True,13,14,10,14,11,False,True,False,True,False
moead,BBOB_F55,42,10,2,20,20,13,72,21,51,109,True,12,13,10,13,11,False,True,False,True,False
moead,DTLZ1,42,7,3,15,14,11,28,16,12,76,True,10,12,9,11,10,False,False,False,True,False
moead,DTLZ2,42,12,3,15,14,17,28,16,12,131,True,18,19,16,17,17,False,False,False,True,True
moead,DTLZ3,42,12,3,15,14,18,42,16,26,131,True,19,20,16,18,17,False,False,False,True,False
moead,DTLZ4,42,12,3,15,14,18,37,16,21,131,True,18,19,16,18,17,True,False,False,True,False
moead,DTLZ7,42,22,3,15,14,33,69,16,53,241,True,35,36,29,33,30,False,False,False,True,False
moead,MMF1,42,2,2,20,20,3,34,21,13,21,True,2,3,2,3,3,False,True,False,True,True
moead,MMF11_L,42,2,2,20,20,3,32,21,11,21,True,2,3,2,3,3,False,True,False,True,True
moead,MMF16_20,42,20,3,15,14,29,41,16,25,219,True,30,31,26,29,27,False,False,False,True,False
moead,MMF4,42,2,2,20,20,3,31,21,10,21,True,2,3,2,3,3,False,True,False,True,True
moead,WFG1,42,22,2,20,20,31,183,21,162,241,True,30,31,22,31,23,False,True,False,True,False
moead,WFG2,42,22,2,20,20,27,109,21,88,241,True,26,27,22,27,23,False,True,False,True,False
moead,WFG4,42,22,2,20,20,27,115,21,94,241,True,26,27,22,27,23,False,True,False,True,False
moead,WFG5,42,22,2,20,20,26,99,21,78,241,True,25,26,22,26,23,False,True,False,True,False
moead,WFG9,42,22,2,20,20,25,64,21,43,241,True,24,25,22,25,23,False,True,False,True,False
moead,ZDT1,42,30,2,20,20,38,179,21,158,329,True,37,38,30,38,31,False,True,False,True,False
moead,ZDT3,42,30,2,20,20,38,179,21,158,329,True,37,38,30,38,31,False,True,False,True,False
moead,ZDT4,42,10,2,20,20,14,90,21,69,109,True,13,14,10,14,11,False,True,False,True,False
moead,ZDT6,42,10,2,20,20,14,87,21,66,109,True,13,14,10,14,11,False,True,False,True,False
nsga2,DTLZ2,0,12,3,20,20,13,28,21,7,131,True,12,13,12,13,13,False,True,False,True,True
nsga2,MMF1,0,2,2,20,20,3,21,21,0,21,True,2,3,2,2,3,False,True,False,False,True
nsga2,ZDT1,0,30,2,20,20,31,32,21,11,329,True,30,31,30,31,31,False,True,False,True,True
nsga2,BBOB_F1,42,10,2,20,20,11,38,21,17,109,True,10,11,10,11,11,False,True,False,True,True
nsga2,BBOB_F17,42,10,2,20,20,11,30,21,9,109,True,10,11,10,11,11,False,True,False,True,True
nsga2,BBOB_F22,42,10,2,20,20,11,24,21,3,109,True,10,11,10,11,11,False,True,False,True,True
nsga2,BBOB_F37,42,10,2,20,20,11,24,21,3,109,True,10,11,10,11,11,False,True,False,True,True
nsga2,BBOB_F49,42,10,2,20,20,11,24,21,3,109,True,10,11,10,11,11,False,True,False,True,True
nsga2,BBOB_F5,42,10,2,20,20,11,27,21,6,109,True,10,11,10,11,11,False,True,False,True,True
nsga2,BBOB_F55,42,10,2,20,20,11,27,21,6,109,True,10,11,10,11,11,False,True,False,True,True
nsga2,DTLZ1,42,7,3,20,20,8,23,21,2,76,True,7,8,7,8,8,False,True,False,True,True
nsga2,DTLZ2,42,12,3,20,20,13,25,21,4,131,True,12,13,12,13,13,False,True,False,True,True
nsga2,DTLZ3,42,12,3,20,20,13,24,21,3,131,True,12,13,12,13,13,False,True,False,True,True
nsga2,DTLZ4,42,12,3,20,20,13,22,21,1,131,True,12,13,12,13,13,False,True,False,True,True
nsga2,DTLZ7,42,22,3,20,20,23,36,21,15,241,True,22,23,22,23,23,False,True,False,True,True
nsga2,MMF1,42,2,2,20,20,3,22,21,1,21,True,2,3,2,3,3,False,True,False,True,True
