alg,problema,n_ger,n_trans,quedas,quedas_1pct,pior_rel,hv_g1,hv_gN,ganho
smsemoa,BBOB_F1,11,10,0,0,0.0010642822771719418,40547.278517871746,51144.70567334322,0.26135976427617735
nsga2,BBOB_F1,11,10,0,0,0.002423235397586226,40547.278517871746,52670.71345332347,0.2989950344042982
nsga3,BBOB_F1,11,10,0,0,0.0027360552182863393,40547.278517871746,53849.91228166828,0.32807710529655454
moead,BBOB_F1,12,11,6,1,-0.01010675155193001,40547.278517871746,43838.98728393305,0.08118199017007854
smsemoa,BBOB_F17,11,10,0,0,0.0005334043945711013,63623719809.815704,64642655395.22609,0.016015026918517083
nsga2,BBOB_F17,11,10,0,0,1.1888163128318017e-05,63623719809.815704,64839764370.01476,0.019113069211200928
nsga3,BBOB_F17,11,10,0,0,5.02349010635168e-06,63623719809.815704,64680108840.80834,0.016603698025679625
moead,BBOB_F17,14,13,7,0,-0.004560899127019053,63623719809.815704,64066576190.1735,0.006960554674916519
smsemoa,BBOB_F22,11,10,0,0,0.0003819308148381706,4446515713.805435,6039742147.123455,0.35830896276187874
nsga2,BBOB_F22,11,10,0,0,1.043651592258519e-07,4446515713.805435,5564027668.479143,0.2513230643049531
nsga3,BBOB_F22,11,10,0,0,0.00012265240902546357,4446515713.805435,5847545085.897301,0.31508476799980345
moead,BBOB_F22,14,13,4,2,-0.04283076851238283,4446515713.805435,4671472418.386724,0.05059168100606248
smsemoa,BBOB_F37,11,10,0,0,3.1654413823554795e-05,14527008.591423783,16581192.78441008,0.1414044866882651
nsga2,BBOB_F37,11,10,0,0,0.00023886391401841352,14527008.591423783,16899991.104136363,0.1633497011981877
nsga3,BBOB_F37,11,10,0,0,0.0005262909217381441,14527008.591423783,16169161.076840451,0.11304133780069048
moead,BBOB_F37,13,12,1,0,-0.0037299178438139342,14527008.591423783,16554072.359511903,0.13953758995398569
smsemoa,BBOB_F49,11,10,0,0,2.5097528196565073e-05,290724.0152520966,365325.1375722182,0.25660460920448025
nsga2,BBOB_F49,11,10,0,0,0.0,290724.0152520966,381891.9016836811,0.3135891142413185
nsga3,BBOB_F49,11,10,0,0,0.0002241732918018282,290724.0152520966,395042.70604317635,0.35882378241309554
moead,BBOB_F49,14,13,5,5,-0.20994945563102765,290724.0152520966,154109.25774841628,-0.46991218591012185
smsemoa,BBOB_F5,11,10,0,0,0.006019386260355615,333276.9074064493,483837.6340494591,0.45175865263113724
nsga2,BBOB_F5,11,10,0,0,0.005378648726031094,333276.9074064493,468244.2080778999,0.4049704545141215
nsga3,BBOB_F5,11,10,0,0,0.001688213056168665,333276.9074064493,466084.0009114612,0.39848873580384736
moead,BBOB_F5,14,13,3,0,-0.007385807066440617,333276.9074064493,427219.5673136922,0.2818756950138004
smsemoa,BBOB_F55,11,10,0,0,8.13642005755659e-05,547.086933519342,2038.9344925513578,2.726893054153472
nsga2,BBOB_F55,11,10,0,0,0.07025311006932349,547.086933519342,2538.4134866008535,3.6398722599195636
nsga3,BBOB_F55,11,10,0,0,0.0,547.086933519342,2310.892818712542,3.223995634198128
moead,BBOB_F55,13,12,3,1,-0.08164716951831533,547.086933519342,1061.1557532120642,0.939647409207494
smsemoa,DTLZ1,8,7,0,0,0.0010843707707436847,40742089.38172248,42225855.14833028,0.036418499618565026
nsga2,DTLZ1,8,7,1,0,-0.00019242997222310845,40742089.38172248,42359285.26886738,0.03969349416503909
nsga3,DTLZ1,11,10,2,0,-0.001173907168434614,39995072.74683205,41848361.18194327,0.0463379188442159
moead,DTLZ1,11,10,4,2,-0.02790817454139714,39995072.74683205,39942129.06922524,-0.0013237550020710476
smsemoa,DTLZ2,13,12,0,0,0.0048285574684563785,5.422151522898499,7.631621387736414,0.40748950956221286
nsga2,DTLZ2,13,12,1,1,-0.010009126863401194,5.422151522898499,7.338883075962528,0.35350018253259896
nsga3,DTLZ2,18,17,1,0,-0.004344794384400491,5.030361489811399,7.231993174646669,0.43766868231925327
moead,DTLZ2,17,16,4,2,-0.16759140163821434,5.030361489811399,5.733497069017492,0.13977834011138945
smsemoa,DTLZ3,13,12,0,0,0.00015044129446376123,3555361599.146347,3901124685.7995315,0.09725117319605503
nsga2,DTLZ3,13,12,3,1,-0.03066895490801091,3555361599.146347,3841564286.012159,0.08049889691516321
nsga3,DTLZ3,18,17,2,0,-0.0015986403143431512,3440942354.744371,3868361575.9000735,0.12421574588902273
moead,DTLZ3,18,17,6,4,-0.08921631469646736,3440942354.744371,3444738673.5413294,0.0011032788130624915
smsemoa,DTLZ4,13,12,0,0,0.0021552580350403775,5.274261644489987,8.325961230236272,0.5786022369471169
nsga2,DTLZ4,13,12,1,0,-0.0012807207366352569,5.274261644489987,8.365403946047344,0.5860805758066001
nsga3,DTLZ4,18,17,2,0,-0.003202989456826415,5.274261644489987,8.510384807302685,0.6135689468863328
moead,DTLZ4,18,17,1,0,-0.003947270379113404,5.274261644489987,8.149821309406645,0.5452061082181525
smsemoa,DTLZ7,23,22,2,0,-1.6667222240798245e-05,10.87579124299,14.81559235716377,0.36225420534006414
nsga2,DTLZ7,23,22,4,0,-0.007908443854593727,10.87579124299,14.900960932372731,0.37010361815993464
nsga3,DTLZ7,33,32,2,0,-0.0023746958637469793,10.839125602086332,16.842162337020785,0.5538303508337405
moead,DTLZ7,33,32,8,4,-0.056600529038796185,10.839125602086332,11.646564589358043,0.07449300035016604
smsemoa,MMF1,3,2,0,0,0.006241551314494543,7.09816899121568,7.212073395946037,0.016047012246583447
nsga2,MMF1,3,2,0,0,0.005704388954028029,7.09816899121568,7.254599558010733,0.022038157585237084
nsga3,MMF1,3,2,0,0,0.0061209609376315565,7.09816899121568,7.25760447969679,0.02246149516564322
moead,MMF1,3,2,1,0,-0.0051715079452179374,7.09816899121568,7.1489413904889325,0.007152886798847069
smsemoa,MMF11_L,3,2,0,0,0.0034796296185241014,11.760403419452558,12.045158388186188,0.024213027272740106
nsga2,MMF11_L,3,2,0,0,0.024028533787721233,11.760403419452558,12.519772986805997,0.06457002708745407
nsga3,MMF11_L,3,2,0,0,0.03959019886855705,11.760403419452558,12.925307841765473,0.0990531005412687
moead,MMF11_L,3,2,1,1,-0.05255858218551989,11.760403419452558,11.303487106009747,-0.03885209521699218
smsemoa,MMF16_20,21,20,3,0,-0.002697596305237715,19.195588471905243,21.80483417438919,0.13592944578400656
nsga2,MMF16_20,21,20,10,5,-0.046032112741134376,19.195588471905243,20.72798520910353,0.0798306725235911
nsga3,MMF16_20,30,29,7,0,-0.008758977524175721,18.708840448826063,21.510510539129392,0.14975113492290903
moead,MMF16_20,29,28,11,3,-0.12869416880264592,18.708840448826063,16.30620794739084,-0.1284223096566086
smsemoa,MMF4,3,2,0,0,0.006443389706852582,1.8747802339399828,1.9081267759726965,0.01778690719532161
nsga2,MMF4,3,2,0,0,0.014213180115912143,1.8747802339399828,1.9307853182289247,0.029872879644801564
