problema,coord,p
DTLZ2,0,0.9958730609316025
DTLZ2,1,0.9979853958309368
DTLZ2,2,0.9993566837187309
DTLZ2,3,0.9619099381868097
DTLZ2,4,0.9599292600617286
DTLZ2,5,0.9978697489736621
DTLZ2,6,0.9605090259195348
DTLZ2,7,0.8219483129603272
DTLZ2,8,0.8752693670701703
DTLZ2,9,0.9383847631743387
DTLZ2,10,0.9961803347565108
DTLZ2,11,0.9749099783309787
MMF16_20,0,0.7129710135384715
MMF16_20,1,0.9892993735883701
MMF16_20,2,0.9999999452631022
MMF16_20,3,0.9337813792210754
MMF16_20,4,0.8701517548411687
MMF16_20,5,0.9840867968456165
MMF16_20,6,0.9325692830919534
MMF16_20,7,0.9738586716309681
MMF16_20,8,0.8248055490964523
MMF16_20,9,0.9237021032264412
MMF16_20,10,0.9774872389005153
MMF16_20,11,0.8838592446396814
MMF16_20,12,0.7849684050905705
MMF16_20,13,0.9699755111823276
MMF16_20,14,0.9778252269467402
MMF16_20,15,0.9915233401747487
MMF16_20,16,0.9831344081086979
MMF16_20,17,0.7903106907789492
MMF16_20,18,0.9698142798369516
MMF16_20,19,0.9969405000420888
WFG9,0,0.965928359302856
WFG9,1,0.8386016921610282
WFG9,2,0.9896606447763573
WFG9,3,0.9768002672883798
WFG9,4,0.9423224429144196
WFG9,5,0.9966089234823561
WFG9,6,0.9259322823751712
WFG9,7,0.9919701851255377
WFG9,8,0.9881714800010555
WFG9,9,0.9929359925189901
WFG9,10,0.9985581063407014
WFG9,11,0.8687817787416453
WFG9,12,0.9940269510637799
WFG9,13,0.9583599362653986
WFG9,14,0.8485013684696081
WFG9,15,0.9186513088096968
WFG9,16,0.906464125824664
WFG9,17,0.9856786146196208
WFG9,18,0.9853236150323682
WFG9,19,0.9990370890527593
WFG9,20,0.9939827413223391
WFG9,21,0.6159335975299576
ZDT1,0,0.9999916230507474
ZDT1,1,0.9969138976929214
ZDT1,2,0.9425273559221959
ZDT1,3,0.9726651173706689
ZDT1,4,0.9978462786219234
ZDT1,5,0.9920496156747078
ZDT1,6,0.9981845830594707
ZDT1,7,0.9959593066741514
ZDT1,8,0.819744416409188
ZDT1,9,0.9996673250299334
ZDT1,10,0.7031266131583078
ZDT1,11,0.9150147920356078
ZDT1,12,0.994888673455899
ZDT1,13,0.8982571935550918
ZDT1,14,0.911400376232526
ZDT1,15,0.9996310248478452
ZDT1,16,0.9116991802249717
ZDT1,17,0.9957026617491676
ZDT1,18,0.9699113885782789
ZDT1,19,0.9808148078338523
ZDT1,20,0.9955929645833487
ZDT1,21,0.6734385717198926
ZDT1,22,0.9209356977407641
ZDT1,23,0.9921559016300326
ZDT1,24,0.9454038742448311
ZDT1,25,0.9948249511742104
ZDT1,26,0.9984689865312837
ZDT1,27,0.9984853355136821
ZDT1,28,0.9997201342778897
ZDT1,29,0.9513445462682985
ZDT4,0,0.9932023782094023
ZDT4,1,0.8578792449558579
ZDT4,2,0.9658601245048319
ZDT4,3,0.9442853362951154
ZDT4,4,0.9923746176667927
ZDT4,5,0.8108559519304759
ZDT4,6,0.9206954453905675
ZDT4,7,0.9994937847651549
ZDT4,8,0.9741047759356178
ZDT4,9,0.851372014635823
