alg,rec,fe,f_best,n_front1,ideal,nadir_pop,nadir_front1,modelo_hp,tempo_fit_s,tempo_busca_s,dist_min_arquivo,n_campos
sobol_batch,decision,1,1,0,0,0,0,0,0,0,0,2
nsga3,nsga3_gen,1,1,1,1,1,1,0,0,0,0,6
nsga2,nsga2_gen,1,1,1,1,1,1,0,0,0,0,6
c122,decision,1,1,1,0,0,0,0,1,1,1,6
moead,moead_gen,1,1,1,1,1,1,0,0,0,0,6
smsemoa,smsemoa_gen,1,1,1,1,1,1,0,0,0,0,6
e81,decision,1,1,1,0,0,0,1,1,1,1,7
e74,e74_gen,1,1,1,0,0,0,1,1,1,1,7
e7,e7_gen,1,1,1,0,0,0,1,1,1,1,7
b1,b1_gen,1,1,1,0,0,0,1,1,1,1,7
c217,c217_gen,1,1,1,0,0,0,1,1,1,1,7
c154,decision,1,1,1,0,0,0,1,1,1,1,7
c149,decision,1,1,1,0,0,0,1,1,1,1,7
c141,c141_gen,1,1,1,0,0,0,1,1,1,1,7
b4,b4_gen,1,1,1,0,0,0,1,1,1,1,7
b3,b3_gen,1,1,1,0,0,0,1,1,1,1,7
c262,decision,1,1,1,0,0,0,1,1,1,1,7
c238,c238_gen,1,1,1,0,0,0,1,1,1,1,7
