label,n_eventos,n_footers,footer_motivo,motivo_parada,status,upload,created,ultimo_ev_ts
swap_big-lhs_DTLZ2,3,1,orcamento,orcamento,ok,null,2026-07-24T22:33:22+00:00,2026-07-24T22:33:22.838+00:00
swap_big-lhs_MMF16_20,3,1,orcamento,orcamento,ok,null,2026-07-25T01:04:10+00:00,2026-07-25T01:04:10.965+00:00
swap_big-lhs_WFG9,3,1,orcamento,orcamento,ok,null,2026-07-25T01:03:57+00:00,2026-07-25T01:03:57.755+00:00
swap_big-lhs_ZDT1,3,1,orcamento,orcamento,ok,null,2026-07-25T01:03:49+00:00,2026-07-25T01:03:49.313+00:00
swap_big-lhs_ZDT4,3,1,orcamento,orcamento,ok,null,2026-07-24T22:32:29+00:00,2026-07-24T22:32:29.237+00:00
swap_big-mvns_DTLZ2,4,2,orcamento,orcamento,ok,null,2026-07-26T11:23:01+00:00,2026-07-26T11:23:01.673+00:00
swap_big-mvns_MMF16_20,2,0,<SEM FOOTER>,orcamento,ok,"{""real"": ""pending"", ""pop"": ""pending"", ""surrogate"": ""pending""",2026-07-26T11:08:13+00:00,2026-07-26T11:08:03.119+00:00
swap_big-mvns_WFG9,4,2,orcamento,orcamento,ok,null,2026-07-26T11:23:09+00:00,2026-07-26T11:23:09.465+00:00
swap_big-mvns_ZDT1,4,2,orcamento,orcamento,ok,null,2026-07-26T11:23:09+00:00,2026-07-26T11:23:10.011+00:00
swap_big-mvns_ZDT4,3,1,orcamento,orcamento,ok,null,2026-07-24T22:33:10+00:00,2026-07-24T22:33:10.419+00:00
