label,prob,dist,D,M,fe_ok,fase_init,fe_dense,x_hash_ok,f_hash_ok,dX,dF,n4,fit_series,fe_tr_uni,fe_tr_val,n_blocos,n_sonda,ger_null,hash_ok,dX_sonda,wape,corr,soma,tg,d,com_sonda_estoura,sig_nan,n3,mu_nan,n_X_uni,n_X_reav,linhas_cobertas,max_reav,n_X_mu_divergente,msl,msl_ok,teto_folhas,folhas,folhas_ok,ocup,quant_share,pop_max,pop_min,lattice,env_ok,n7,nd_rec,nd_grav,nd_ok,dX7,orig_ger,fantasia,melhora_mu,dpop_front,dpop_glob,razao,wall
swap_big-lhs_DTLZ2,DTLZ2,lhs,12,3,True,True,True,True,True,0.0,0.0,1,1,1,49999,1,20000,20000,True,0.0,"[0.105582, 0.105397, 0.090989]","[0.977, 0.977, 0.969]",8.912818908691406,8.912818908691406,0.0,True,124895,124895,0,2137,1958,104716,983,0,120,True,416,"[323, 324, 327]",True,0.786,1.0,105,76,105,True,105,61,61,True,0.0,1000,0.581,0.1321,0.4444444444444444,0.037037037037037035,12.0,10.9692
swap_big-lhs_MMF16_20,MMF16_20,lhs,20,3,True,True,True,True,True,0.0,0.0,1,1,1,49999,1,20000,20000,True,0.0,"[0.079546, 0.079676, 0.033908]","[0.989, 0.9888, 0.996]",9.595112800598145,9.595111846923828,9.5367431640625e-07,True,124818,124818,0,1088,979,104709,991,0,200,True,250,"[189, 184, 188]",True,0.756,1.0,105,71,105,True,105,79,79,True,0.0,1000,0.7524,0.1871,0.5555555555555556,0.044044044044044044,12.613636363636365,11.5296
swap_big-lhs_WFG9,WFG9,lhs,22,2,True,True,True,True,True,0.0,0.0,1,1,1,49999,1,20000,20000,True,0.0,"[0.220769, 0.224459]","[0.4137, 0.4244]",5.17405891418457,5.17405891418457,0.0,True,65294,65294,0,519,470,45245,990,0,220,True,227,"[169, 173]",True,0.762,1.0,48,34,50,True,46,16,16,True,0.0,1000,0.3478,0.1568,1.6666666666666667,0.06306306306306306,26.42857142857143,7.2242
swap_big-lhs_ZDT1,ZDT1,lhs,30,2,True,True,True,True,True,0.0,0.0,1,1,1,49999,1,20000,20000,True,0.0,"[0.003906, 0.081016]","[1.0, 0.8143]",5.53249979019165,5.53249979019165,0.0,True,69874,69874,0,359,320,49835,1000,0,300,True,166,"[128, 124]",True,0.771,1.0,50,41,50,True,50,11,11,True,0.0,1000,0.22,0.0169,0.3333333333333333,0.035035035035035036,9.514285714285714,13.2831
swap_big-lhs_ZDT4,ZDT4,lhs,10,2,True,True,True,True,True,0.0,0.0,1,1,1,49999,1,20000,20000,True,0.0,"[0.001953, 0.129238]","[1.0, 0.5386]",3.98868727684021,3.98868727684021,0.0,True,57073,57073,0,751,642,36964,997,0,100,True,500,"[256, 393]",True,0.786,1.0,45,32,50,True,36,7,7,True,0.0,1000,0.1944,0.2557,2.0,0.05805805805805806,34.44827586206896,6.7214
swap_big-mvns_DTLZ2,DTLZ2,mvns,12,3,True,True,True,True,True,0.0,0.0,1,1,1,49999,1,20000,20000,True,0.0,"[0.130359, 0.128804, 0.106555]","[0.9706, 0.9697, 0.9565]",10.898653030395508,10.898653030395508,0.0,True,121957,121957,0,1716,1562,101803,994,0,120,True,416,"[327, 274, 273]",True,0.786,0.9998,104,78,105,True,102,37,37,True,0.0,1000,0.3627,0.1185,3.5555555555555554,0.08808808808808809,40.36363636363636,13.9358
swap_big-mvns_MMF16_20,MMF16_20,mvns,20,3,True,True,True,True,True,0.0,0.0,1,1,1,49999,1,20000,20000,True,0.0,"[0.089273, 0.094929, 0.042362]","[0.9881, 0.9847, 0.9939]",11.884040832519531,11.884041786193848,-9.5367431640625e-07,True,121102,121102,0,2030,1857,100929,985,0,200,True,250,"[189, 165, 172]",True,0.756,0.9999,103,69,105,True,102,69,69,True,0.0,1000,0.6765,0.161,5.333333333333333,0.12912912912912913,41.302325581395344,15.7127
swap_big-mvns_WFG9,WFG9,mvns,22,2,True,True,True,True,True,0.0,0.0,1,1,1,49999,1,20000,20000,True,0.0,"[0.258277, 0.282738]","[0.1219, 0.1945]",5.499876976013184,5.499876976013184,0.0,True,66596,66596,0,457,421,46560,999,0,220,True,227,"[168, 171]",True,0.753,0.9999,48,34,50,True,47,11,11,True,0.0,1000,0.234,0.0362,1.4444444444444444,0.05305305305305305,27.22641509433962,7.5384
swap_big-mvns_ZDT1,ZDT1,mvns,30,2,True,True,True,True,True,0.0,0.0,1,1,1,49999,1,20000,20000,True,0.0,"[0.00811, 0.306777]","[0.9998, 0.808]",5.837141990661621,5.837141990661621,0.0,True,67737,67737,0,570,521,47688,993,0,300,True,166,"[115, 124]",True,0.747,0.9998,48,40,50,True,48,10,10,True,0.0,1000,0.2083,0.0591,1.5555555555555556,0.05005005005005005,31.08,7.8988
swap_big-mvns_ZDT4,ZDT4,mvns,10,2,True,True,True,True,True,0.0,0.0,1,1,1,49999,1,20000,20000,True,0.0,"[0.002941, 0.159228]","[1.0, 0.418]",3.8960916996002197,3.8960916996002197,0.0,True,57281,57281,0,827,713,37167,994,0,100,True,500,"[319, 372]",True,0.744,0.9998,46,32,50,True,37,8,8,True,0.0,1000,0.2162,0.1549,2.3333333333333335,0.043043043043043044,54.2093023255814,5.8615
